Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,High_Utilization,Activity_Decline,Low_Engagement,Avg_Transaction_Amount,Credit_Dependency,High_Value_Customer,Multi_Product_User,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Attrition_Flag
54,0,2,46,3,2,3,4170.0,641,3529.0,0.815,3669,67,0.595,0.154,0,1,0,54.76119402985075,0.1537170263788969,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0
47,0,2,40,2,1,3,4074.0,1868,2206.0,0.688,15005,118,0.761,0.459,0,1,0,127.16101694915254,0.4585174275895925,1,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
45,0,4,36,2,5,2,14416.0,0,14416.0,0.788,13820,99,0.65,0.0,0,1,1,139.59595959595958,0.0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0
44,1,3,36,2,3,3,15422.0,864,14558.0,0.578,2136,54,0.8,0.056,0,1,0,39.55555555555556,0.0560238620153028,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,1
60,1,1,46,6,3,1,5130.0,2048,3082.0,0.776,4601,88,0.76,0.399,0,0,1,52.28409090909091,0.3992202729044834,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
35,0,3,30,3,3,2,9293.0,0,9293.0,0.897,2314,59,1.034,0.0,0,0,1,39.22033898305085,0.0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0
43,1,3,33,5,2,3,3040.0,2517,523.0,0.493,1598,31,0.476,0.828,1,1,0,51.54838709677419,0.8279605263157894,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0
55,0,3,36,3,3,3,2679.0,2277,402.0,0.736,4943,85,0.735,0.85,1,0,0,58.15294117647059,0.8499440089585666,1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
52,1,0,47,2,1,1,34516.0,1464,33052.0,0.689,7690,87,0.673,0.042,0,1,0,88.39080459770115,0.0424151118321937,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
49,0,2,42,6,3,2,1991.0,0,1991.0,0.954,4527,66,0.61,0.0,0,1,1,68.5909090909091,0.0,0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0
38,1,2,33,6,3,4,5940.0,1101,4839.0,0.942,1872,34,1.125,0.185,0,0,0,55.05882352941177,0.1853535353535353,0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0
47,0,0,27,3,1,3,1776.0,691,1085.0,0.878,4878,84,0.826,0.389,0,0,0,58.07142857142857,0.3890765765765765,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
52,0,2,45,1,1,1,4209.0,0,4209.0,0.856,5938,83,0.694,0.0,0,1,0,71.5421686746988,0.0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
46,0,3,36,5,2,2,4668.0,0,4668.0,0.89,1612,47,1.474,0.0,0,0,0,34.297872340425535,0.0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
39,1,1,29,6,2,2,23034.0,1992,21042.0,0.759,2514,32,0.684,0.086,0,1,0,78.5625,0.0864808543891638,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0
48,0,3,36,4,1,2,2544.0,0,2544.0,0.759,3593,64,1.0,0.0,0,0,0,56.140625,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
50,1,3,42,4,5,3,34516.0,2099,32417.0,0.449,1756,35,0.25,0.061,0,1,0,50.17142857142857,0.0608123768686985,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
46,1,2,32,4,3,2,2619.0,2271,348.0,0.61,3835,60,0.818,0.867,1,1,1,63.91666666666666,0.8671248568155785,0,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
34,1,0,13,3,3,2,3870.0,1394,2476.0,0.827,1588,36,0.714,0.36,0,0,1,44.11111111111112,0.3602067183462532,0,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
51,0,2,36,3,1,4,1495.0,0,1495.0,0.528,2220,50,0.562,0.0,0,1,0,44.4,0.0,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,1
63,0,0,56,2,2,2,7264.0,851,6413.0,0.814,3527,69,0.816,0.117,0,0,0,51.11594202898551,0.1171530837004405,0,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0
50,0,3,41,2,3,1,4755.0,0,4755.0,0.776,15999,109,0.73,0.0,0,0,1,146.77981651376146,0.0,1,0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
39,1,2,27,3,3,2,34516.0,1629,32887.0,1.078,3448,53,1.038,0.047,0,0,1,65.05660377358491,0.0471955035345926,0,0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0
49,1,2,42,6,1,2,3017.0,786,2231.0,1.081,1640,37,0.762,0.261,0,0,0,44.32432432432432,0.2605236990387802,0,1,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0
37,1,2,36,4,2,2,7638.0,947,6691.0,0.682,2336,58,0.611,0.124,0,1,0,40.27586206896552,0.1239853364755171,0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0
49,0,4,41,5,1,2,6250.0,644,5606.0,1.06,2433,41,1.158,0.103,0,0,0,59.34146341463415,0.10304,0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
44,0,5,37,3,1,1,17785.0,1259,16526.0,0.806,3890,72,1.118,0.071,0,0,0,54.02777777777778,0.0707899915659263,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
62,1,1,49,3,1,2,2437.0,1400,1037.0,0.779,1651,32,1.0,0.574,0,0,0,51.59375,0.5744768157570784,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0
49,1,2,39,2,3,4,14839.0,512,14327.0,0.176,1453,26,0.13,0.035,0,1,0,55.88461538461539,0.0345036727542287,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
42,0,3,36,6,3,3,2837.0,834,2003.0,0.427,3892,69,0.408,0.294,0,1,0,56.40579710144928,0.2939725061684878,0,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0
53,1,3,44,4,2,0,9025.0,1005,8020.0,0.568,4412,87,0.706,0.111,0,1,0,50.71264367816092,0.1113573407202216,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
40,1,2,31,5,1,2,18693.0,2052,16641.0,0.5,1516,44,0.63,0.11,0,1,0,34.45454545454545,0.1097737120847376,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0
56,0,1,50,2,3,3,5338.0,0,5338.0,0.919,4139,69,0.865,0.0,0,0,0,59.98550724637681,0.0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
51,0,1,36,2,3,2,2710.0,0,2710.0,0.999,4724,60,0.395,0.0,0,1,1,78.73333333333333,0.0,0,0,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,1
51,1,2,31,5,3,2,1438.3,327,1111.3,0.528,1783,40,0.481,0.227,0,1,1,44.575,0.227351734686783,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1
45,0,3,36,3,2,4,4209.0,1300,2909.0,0.75,16078,105,0.615,0.309,0,1,0,153.1238095238095,0.3088619624613922,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
41,1,2,25,4,2,3,4277.0,2186,2091.0,0.804,8764,69,0.683,0.511,0,1,0,127.0144927536232,0.5111059153612345,1,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1
44,1,3,32,4,2,2,34516.0,1344,33172.0,0.523,4795,92,0.673,0.039,0,1,0,52.119565217391305,0.0389384633213582,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
61,1,1,47,5,3,4,1438.3,847,591.3,0.436,1397,43,0.483,0.589,0,1,0,32.48837209302326,0.5888896614058263,0,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,0
45,0,3,34,4,2,1,5056.0,0,5056.0,0.905,4428,78,0.696,0.0,0,1,0,56.76923076923077,0.0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
48,0,3,36,5,2,1,1438.3,0,1438.3,0.646,4490,65,0.625,0.0,0,1,0,69.07692307692308,0.0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
53,1,0,34,3,1,4,20231.0,1434,18797.0,0.543,5002,78,0.66,0.071,0,1,0,64.12820512820512,0.0708813207453907,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
38,0,3,32,5,1,0,26945.0,727,26218.0,0.687,1579,40,0.6,0.027,0,1,0,39.475,0.0269808869920207,0,1,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0
39,0,2,35,1,3,3,32089.0,1971,30118.0,0.671,13796,121,0.833,0.061,0,1,0,114.01652892561984,0.0614229175106734,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0
44,0,2,31,3,3,3,1506.0,168,1338.0,0.671,2312,44,0.467,0.112,0,1,0,52.54545454545455,0.1115537848605577,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1
49,1,2,34,4,1,4,5176.0,0,5176.0,0.838,1902,56,0.931,0.0,0,0,0,33.964285714285715,0.0,0,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0
51,0,3,36,6,2,2,1936.0,0,1936.0,0.705,4072,72,0.756,0.0,0,0,0,56.55555555555556,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
40,0,4,25,6,2,1,25060.0,0,25060.0,0.758,3749,61,0.743,0.0,0,0,0,61.459016393442624,0.0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
44,1,1,33,3,2,4,2540.0,0,2540.0,0.212,1531,31,0.107,0.0,0,1,0,49.38709677419355,0.0,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,1
55,0,1,36,3,2,3,6968.0,1430,5538.0,0.95,4037,69,1.029,0.205,0,0,0,58.5072463768116,0.2052238805970149,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
41,0,4,37,3,2,3,4650.0,204,4446.0,0.685,2014,54,0.8,0.044,0,1,0,37.2962962962963,0.0438709677419354,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
45,0,3,34,4,3,1,3223.0,243,2980.0,0.433,1979,38,0.462,0.075,0,1,1,52.078947368421055,0.0753955941669252,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1
40,0,2,26,3,2,1,2708.0,0,2708.0,0.572,4277,90,0.636,0.0,0,1,0,47.52222222222223,0.0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0
48,0,4,36,6,1,4,2464.0,1867,597.0,0.6,1219,35,1.333,0.758,1,1,0,34.82857142857143,0.757711038961039,0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
45,1,3,39,6,2,2,29003.0,2323,26680.0,0.671,1676,36,0.714,0.08,0,1,0,46.55555555555556,0.0800951625693893,0,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0
43,0,3,38,2,2,2,1530.0,0,1530.0,0.642,5138,84,0.68,0.0,0,1,0,61.16666666666666,0.0,1,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
48,0,5,38,5,3,2,1605.0,1300,305.0,0.95,4495,67,0.718,0.81,1,0,1,67.08955223880596,0.8099688473520249,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
40,1,2,26,1,3,1,5238.0,2077,3161.0,0.656,7321,73,0.659,0.397,0,1,1,100.28767123287672,0.3965253913707522,1,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
44,0,4,31,3,3,2,3228.0,0,3228.0,0.747,4524,70,0.667,0.0,0,1,1,64.62857142857143,0.0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
52,0,3,41,3,3,4,6060.0,1687,4373.0,0.563,3953,65,0.711,0.278,0,1,0,60.815384615384616,0.2783828382838283,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
52,1,2,43,1,2,2,34516.0,1588,32928.0,0.745,7512,81,0.688,0.046,0,1,0,92.74074074074076,0.0460076486267238,1,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0
31,1,1,20,6,2,5,2469.0,1695,774.0,0.842,1615,36,0.333,0.687,0,1,0,44.86111111111112,0.6865127582017011,0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
41,1,3,33,2,2,2,20749.0,2171,18578.0,0.842,4754,77,0.674,0.105,0,1,0,61.74025974025974,0.1046315485083618,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
33,0,3,13,5,3,3,1630.0,1008,622.0,0.695,4143,67,0.595,0.618,0,1,0,61.83582089552239,0.6184049079754601,0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0
65,0,0,56,3,6,3,5894.0,477,5417.0,1.015,1616,32,0.455,0.081,0,1,0,50.5,0.0809297590770274,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1
50,1,2,42,1,3,2,34162.0,1723,32439.0,0.429,7572,56,0.697,0.05,0,1,1,135.21428571428572,0.0504361571336572,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
51,0,3,36,6,5,2,3417.0,1482,1935.0,0.705,3651,60,0.818,0.434,0,0,1,60.85,0.4337137840210711,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0
40,0,1,25,3,3,1,3758.0,2047,1711.0,1.108,4928,79,0.646,0.545,0,1,1,62.37974683544304,0.5447046301224056,1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
56,0,4,49,5,1,3,14915.0,1111,13804.0,0.846,1388,35,0.667,0.074,0,1,0,39.65714285714286,0.0744887696949379,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
46,1,2,39,2,2,3,34516.0,1381,33135.0,0.949,14696,114,0.966,0.04,0,0,0,128.91228070175438,0.0400104299455325,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
46,0,2,40,5,2,2,6568.0,0,6568.0,0.101,1507,33,0.222,0.0,0,1,0,45.66666666666666,0.0,0,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1
49,0,3,42,2,2,3,14072.0,1917,12155.0,0.653,13432,107,0.981,0.136,0,1,0,125.53271028037383,0.1362279704377487,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
47,0,3,34,3,3,2,1561.0,0,1561.0,0.502,1947,28,0.556,0.0,0,1,1,69.53571428571429,0.0,0,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,1
49,0,5,36,4,2,3,2598.0,1848,750.0,0.547,4396,78,0.814,0.711,1,1,0,56.35897435897436,0.7113163972286374,0,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
41,1,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1,1,48.95238095238095,0.095382342076099,0,1,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0
37,1,3,26,4,2,2,23622.0,1153,22469.0,0.666,2574,65,0.625,0.049,0,1,0,39.6,0.0488104309541952,0,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
34,1,2,36,3,4,2,22886.0,836,22050.0,0.889,2652,61,0.743,0.037,0,0,1,43.47540983606557,0.0365288822861137,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
42,1,4,27,5,3,4,31864.0,0,31864.0,1.009,1591,35,0.75,0.0,0,0,0,45.457142857142856,0.0,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0
57,1,4,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0,0,0,55.892857142857146,0.0862480539699014,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0
49,1,4,38,3,3,4,34516.0,2517,31999.0,0.7,2376,55,0.486,0.073,0,1,0,43.2,0.0729227025147757,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,1
44,0,2,37,6,2,1,4559.0,1680,2879.0,0.628,4934,76,0.949,0.369,0,1,0,64.92105263157895,0.368501864443957,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
47,0,2,37,6,2,1,15109.0,897,14212.0,0.494,2315,43,0.303,0.059,0,1,0,53.83720930232558,0.0593685882586537,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1
54,0,3,39,3,1,3,2112.0,1594,518.0,1.204,1338,29,2.222,0.755,1,0,0,46.13793103448276,0.7547348484848485,0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
32,0,0,36,6,3,2,8791.0,0,8791.0,0.894,2579,51,0.594,0.0,0,1,1,50.5686274509804,0.0,0,1,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,1
55,0,3,48,4,3,2,3968.0,1374,2594.0,0.703,4641,65,0.711,0.346,0,0,1,71.4,0.3462701612903225,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
63,0,0,49,5,3,0,3558.0,2318,1240.0,1.265,1631,31,0.824,0.651,0,0,1,52.61290322580645,0.6514896008993817,0,1,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,0
50,1,1,37,4,1,4,9758.0,1792,7966.0,0.626,4134,60,0.765,0.184,0,1,0,68.9,0.1836441893830703,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
36,0,2,20,4,3,2,9735.0,1245,8490.0,1.079,2967,80,0.739,0.128,0,0,1,37.0875,0.1278890600924499,0,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0
51,1,1,35,3,3,2,9589.0,628,8961.0,0.695,3971,66,0.784,0.065,0,1,1,60.16666666666666,0.0654917092501825,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0
46,1,5,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,0,1,0,35.11764705882353,0.076330553449583,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1
50,1,0,45,3,2,2,2135.0,1506,629.0,0.883,4821,77,0.711,0.705,1,0,0,62.61038961038961,0.7053864168618267,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
47,0,3,43,4,3,2,13473.0,1335,12138.0,0.814,1593,46,0.484,0.099,0,1,1,34.630434782608695,0.0990870630149187,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
42,1,4,37,4,3,2,2411.0,1797,614.0,0.607,4331,63,0.5,0.745,1,1,1,68.74603174603175,0.7453338863542098,0,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0
50,0,4,36,4,2,2,6465.0,1863,4602.0,0.399,4490,68,0.789,0.288,0,1,0,66.02941176470588,0.2881670533642691,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
39,1,3,23,6,1,4,2718.0,2156,562.0,0.668,1711,36,0.44,0.793,1,1,0,47.52777777777778,0.7932303164091243,0,1,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,0
50,0,2,43,5,3,4,3424.0,0,3424.0,0.765,4929,74,0.574,0.0,0,1,0,66.60810810810811,0.0,1,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
54,0,2,46,5,3,2,3014.0,794,2220.0,0.5,1488,30,0.579,0.263,0,1,1,49.6,0.2634372926343729,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
41,0,3,27,6,1,2,2134.0,1085,1049.0,0.656,4224,75,1.027,0.508,0,1,0,56.32,0.5084348641049672,0,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
50,0,1,36,1,1,3,10417.0,2290,8127.0,1.122,4871,75,1.027,0.22,0,0,0,64.94666666666667,0.2198329653451089,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
39,0,2,36,6,2,3,1578.0,760,818.0,0.709,2017,43,0.955,0.482,0,0,0,46.906976744186046,0.4816223067173637,0,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
